id,w,v
981,30,60
982,86,96
983,50,71
984,61,76
985,13,15
986,21,4
987,26,46
988,24,67
989,8,78
990,0,29
991,13,23
992,98,60
993,47,88
994,77,70
995,59,51
996,23,87
997,50,84
998,70,32
999,5,76
1000,5,12
1001,16,25
1002,96,90
1003,31,48
1004,21,59
1005,63,2
1006,29,5
1007,50,37
1008,38,84
1009,89,20
1010,98,81
1011,2,83
1012,44,84
1013,71,22
1014,5,98
1015,81,0
1016,94,90
1017,76,8
1018,8,71
1019,22,61
1020,65,11
1021,94,17
1022,37,67
1023,79,58
1024,59,51
1025,37,96
1026,1,26
1027,48,74
1028,84,38
1029,30,16
1030,89,5
1031,58,40
1032,16,35
1033,2,92
1034,75,16
1035,56,63
1036,39,68
1037,33,27
1038,86,37
1039,1,39
1040,65,20
1041,75,97
1042,9,40
1043,24,46
1044,91,15
1045,58,40
1046,36,21
1047,19,8
1048,92,82
1049,58,8
1050,96,24
1051,69,83
1052,93,57
1053,39,80
1054,10,1
1055,20,87
1056,91,67
1057,14,38
1058,64,84
1059,35,72
1060,82,33
1061,73,76
1062,80,11
1063,93,3
1064,72,12
1065,99,57
1066,83,87
1067,0,73
1068,42,46
1069,61,56
1070,35,34
1071,83,96
1072,7,45
1073,55,41
1074,85,16
1075,24,43
1076,35,84
1077,87,6
1078,64,2
1079,11,79
1080,42,79
1081,37,43
1082,0,93
1083,29,0
1084,66,19
1085,70,70
1086,64,81
1087,78,76
1088,80,48
1089,54,24
1090,44,19
1091,44,45
1092,0,70
1093,1,46
1094,51,14
1095,82,42
1096,20,57
1097,78,42
1098,91,91
1099,82,26
1100,9,1
1101,31,79
1102,16,41
1103,98,28
1104,43,55
1105,62,16
1106,25,74
1107,87,72
1108,20,9
1109,7,22
1110,87,63
1111,21,49
1112,88,58
1113,79,61
1114,84,24
1115,16,89
1116,20,63
1117,63,71
1118,93,10
1119,79,4
1120,62,15
1121,47,77
1122,0,88
1123,84,81
1124,74,93
1125,88,24
1126,31,94
1127,49,80
1128,93,72
1129,95,50
1130,55,97
1131,38,54
1132,5,54
1133,79,42
1134,14,81
1135,96,8
1136,34,30
1137,10,7
1138,18,65
1139,43,76
1140,4,92
1141,17,82
1142,23,78
1143,62,66
1144,51,73
1145,96,23
1146,28,44
1147,90,5
1148,9,37
1149,47,88
1150,79,5
1151,66,68
1152,23,39
1153,3,6
1154,77,33
1155,78,17
1156,53,60
1157,57,26
1158,23,16
1159,31,61
1160,5,8
1161,18,1
1162,80,59
1163,56,42
1164,40,48
1165,26,40
1166,68,98
1167,80,59
1168,26,66
1169,37,13
1170,94,53
1171,42,84
1172,29,88
1173,97,57
1174,71,35
1175,64,67
1176,5,70
1177,82,8
1178,65,66
1179,29,88
1180,7,71
1181,65,4
1182,81,68
1183,67,14
1184,1,8
1185,13,69
1186,1,44
1187,34,40
1188,72,17
1189,49,46
1190,55,59
1191,83,77
1192,90,98
1193,4,35
1194,56,48
1195,41,52
1196,80,3
1197,39,82
1198,30,20
1199,67,17
1200,78,44
1201,91,86
1202,43,22
1203,52,38
1204,22,98
1205,80,35
1206,80,40
1207,9,3
1208,40,40
1209,19,12
1210,74,85
1211,63,31
1212,1,83
1213,45,87
1214,80,85
1215,23,40
1216,47,94
1217,86,76
1218,14,96
1219,8,18
1220,15,91
1221,50,34
1222,0,23
1223,45,73
1224,63,24
1225,56,5
1226,89,17
1227,76,70
1228,4,95
1229,70,94
1230,73,55
1231,24,7
1232,2,59
1233,38,91
1234,96,5
1235,19,36
1236,23,72
1237,12,24
1238,16,15
1239,61,6
1240,31,91
1241,34,15
1242,87,13
1243,35,72
1244,95,36
1245,63,89
1246,70,55
1247,61,93
1248,97,50
1249,12,82
1250,80,13
1251,9,72
1252,82,94
1253,38,89
1254,48,53
1255,5,40
1256,21,24
1257,62,14
1258,3,36
1259,33,92
1260,41,80
1261,23,22
1262,16,32
1263,3,63
1264,58,91
1265,96,11
1266,41,17
1267,77,21
1268,60,84
1269,59,81
1270,97,99
1271,98,29
1272,3,84
1273,39,46
1274,84,10
1275,73,37
1276,46,46
1277,47,14
1278,65,99
1279,57,69
1280,4,83
1281,69,32
1282,5,4
1283,27,36
1284,26,18
1285,32,23
1286,77,47
1287,36,86
1288,14,77
1289,26,18
1290,0,23
1291,32,0
1292,5,31
1293,83,57
1294,95,26
1295,72,11
1296,59,37
1297,32,46
1298,79,26
1299,9,22
1300,42,17
1301,37,77
1302,22,49
1303,86,39
1304,59,25
1305,67,47
1306,98,24
1307,58,97
1308,56,77
1309,74,47
1310,92,15
1311,3,49
1312,39,45
1313,80,48
1314,51,59
1315,5,32
1316,77,44
1317,41,69
1318,11,19
1319,93,39
1320,40,88
1321,37,54
1322,74,20
1323,42,28
1324,26,39
1325,85,12
1326,98,29
1327,15,22
1328,32,75
1329,30,12
1330,61,12
1331,79,81
1332,60,8
1333,8,68
1334,7,67
1335,4,88
1336,59,8
1337,28,21
1338,8,16
1339,17,13
1340,15,46
1341,39,55
1342,32,25
1343,44,28
1344,86,8
1345,21,8
1346,61,52
1347,64,64
1348,90,63
1349,87,42
1350,56,32
1351,80,40
1352,14,71
1353,98,40
1354,28,11
1355,18,91
1356,51,77
1357,49,45
1358,30,54
1359,1,49
1360,53,35
1361,54,77
1362,55,44
1363,71,64
1364,58,75
1365,22,62
1366,85,47
1367,16,8
1368,7,9
1369,52,73
1370,78,65
1371,94,23
1372,63,16
1373,19,58
1374,11,28
1375,71,22
1376,49,29
1377,85,67
1378,95,43
1379,13,50
1380,62,87
1381,44,38
1382,38,3
1383,21,84
1384,69,28
1385,97,50
1386,18,98
1387,96,21
1388,9,99
1389,76,2
1390,77,24
1391,81,66
1392,86,32
1393,25,58
1394,81,69
1395,50,78
1396,61,88
1397,10,48
1398,39,24
1399,71,51
1400,63,18
1401,87,4
1402,56,31
1403,85,85
1404,18,3
1405,72,25
1406,43,77
1407,28,59
1408,81,42
1409,79,70
1410,29,70
1411,77,60
1412,78,77
1413,67,5
1414,64,26
1415,53,11
1416,19,42
1417,38,71
1418,17,71
1419,60,35
1420,46,83
1421,52,42
1422,9,51
1423,55,27
1424,8,95
1425,74,54
1426,40,87
1427,99,87
1428,43,66
1429,20,97
1430,69,22
1431,95,86
1432,0,45
1433,91,23
1434,7,95
1435,34,6
1436,54,39
1437,80,6
1438,23,38
1439,75,20
1440,16,37
1441,63,71
1442,92,59
1443,95,13
1444,75,44
1445,97,44
1446,94,51
1447,67,49
1448,98,14
1449,10,72
1450,15,33
1451,51,96
1452,60,16
1453,79,42
1454,50,27
1455,75,72
1456,14,34
1457,85,82
1458,50,82
1459,18,36
1460,98,45
1461,17,1
1462,91,14
1463,6,28
1464,73,49
1465,14,29
1466,78,83
1467,70,11
1468,58,5
1469,66,39
1470,64,65
1471,52,35
1472,76,54
1473,9,16
1474,27,85
1475,60,13
1476,0,16
1477,56,97
1478,0,74
1479,67,39
1480,85,26
1481,16,76
1482,50,37
1483,20,20
1484,30,6
1485,44,96
1486,98,96
1487,10,19
1488,12,15
1489,59,8
1490,81,19
1491,88,52
1492,69,78
1493,83,65
1494,6,87
1495,68,81
1496,58,38
1497,51,99
1498,1,9
1499,72,38
1500,2,32
1501,42,76
1502,60,25
1503,56,18
1504,97,11
1505,46,61
1506,58,4
1507,10,81
1508,90,1
1509,86,34
1510,75,41
1511,73,76
1512,48,48
1513,12,19
1514,14,17
1515,71,7
1516,21,42
1517,48,14
1518,79,51
1519,43,78
1520,66,50
1521,10,82
1522,17,49
1523,7,79
1524,81,0
1525,48,11
1526,61,49
1527,23,94
1528,12,5
1529,14,95
1530,88,68
1531,68,81
1532,7,4
1533,37,15
1534,25,2
1535,94,65
1536,29,14
1537,81,80
1538,97,25
1539,71,83
1540,27,63
1541,74,35
1542,94,18
1543,62,32
1544,68,95
1545,66,89
1546,41,99
1547,56,6
1548,43,99
1549,77,23
1550,60,35
1551,42,68
1552,21,69
1553,8,3
1554,92,68
1555,61,13
1556,77,63
1557,28,81
1558,92,20
1559,73,70
1560,73,24
1561,0,31
1562,72,73
1563,3,12
1564,79,17
1565,26,46
1566,86,65
1567,27,90
1568,78,18
1569,38,67
1570,5,39
1571,50,9
1572,45,79
1573,28,62
1574,81,52
1575,85,71
1576,44,36
1577,3,22
1578,93,82
1579,80,15
1580,94,65
1581,33,67
1582,29,40
1583,60,61
1584,4,50
1585,36,23
1586,92,28
1587,82,31
1588,80,71
1589,21,62
1590,79,41
1591,97,57
1592,99,89
1593,88,2
1594,0,83
1595,4,53
1596,72,20
1597,37,36
1598,24,33
1599,29,91
1600,63,28
1601,61,28
1602,57,54
1603,72,94
1604,63,76
1605,5,65
1606,45,7
1607,50,66
1608,24,53
1609,58,75
1610,5,22
1611,62,16
1612,89,80
1613,35,7
1614,91,79
1615,95,45
1616,91,92
1617,27,75
1618,20,62
1619,48,96
1620,37,77
1621,41,95
1622,91,66
1623,91,91
1624,66,8
1625,74,20
1626,36,78
1627,51,82
1628,58,80
1629,14,69
1630,66,74
1631,94,79
1632,52,30
1633,7,58
1634,81,94
1635,43,91
1636,13,66
1637,44,75
1638,76,95
1639,77,76
1640,72,80
1641,19,83
1642,1,88
1643,6,77
1644,89,36
1645,20,18
1646,32,43
1647,1,61
1648,79,39
1649,64,41
1650,60,85
1651,97,52
1652,37,48
1653,87,34
1654,42,1
1655,4,88
1656,60,39
1657,70,82
1658,60,86
1659,4,85
1660,91,9
1661,85,50
1662,91,4
1663,33,19
1664,66,30
1665,18,94
1666,54,99
1667,89,3
1668,48,42
1669,33,72
1670,48,17
1671,7,13
1672,73,68
1673,58,34
1674,54,67
1675,65,44
1676,41,6
1677,71,96
1678,90,8
1679,13,96
1680,10,55
1681,15,55
1682,13,97
1683,8,59
1684,90,72
1685,39,89
1686,35,70
1687,30,85
1688,91,60
1689,40,99
1690,5,87
1691,44,41
1692,45,8
1693,59,61
1694,62,60
1695,38,57
1696,40,15
1697,20,98
1698,34,62
1699,49,50
1700,67,46
1701,48,89
1702,89,84
1703,27,33
1704,58,18
1705,28,1
1706,86,31
1707,41,83
1708,8,45
1709,59,17
1710,85,34
1711,80,54
1712,14,53
1713,96,1
1714,66,47
1715,81,30
1716,55,17
1717,97,47
1718,83,11
1719,19,33
1720,82,26
1721,29,67
1722,18,42
1723,29,35
1724,71,23
1725,99,72
1726,56,93
1727,18,23
1728,26,57
1729,89,77
1730,67,90
1731,15,36
1732,22,44
1733,78,73
1734,37,28
1735,9,81
1736,7,12
1737,36,66
1738,3,64
1739,88,45
1740,5,62
1741,3,74
1742,87,65
1743,5,24
1744,34,96
1745,7,9
1746,19,33
1747,32,92
1748,40,36
1749,74,81
1750,19,78
1751,35,96
1752,73,49
1753,0,66
1754,95,30
1755,73,13
1756,77,88
1757,14,71
1758,39,71
1759,0,32
1760,96,45
1761,47,55
1762,12,8
1763,60,45
1764,45,76
1765,62,88
1766,18,29
1767,77,16
1768,88,52
1769,66,39
1770,60,39
1771,45,26
1772,93,11
1773,36,46
1774,18,94
1775,3,12
1776,99,96
1777,65,33
1778,24,41
1779,62,25
1780,5,64
1781,37,14
1782,96,46
1783,56,63
1784,89,86
1785,65,25
1786,52,79
1787,72,62
1788,84,50
1789,30,88
1790,86,78
1791,92,80
1792,67,82
1793,72,40
1794,46,22
1795,43,82
1796,89,72
1797,56,82
1798,39,52
1799,68,14
1800,14,21
1801,90,71
1802,66,7
1803,97,11
1804,86,2
1805,80,57
1806,13,64
1807,13,40
1808,19,50
1809,5,72
1810,50,2
1811,50,21
1812,27,21
1813,66,86
1814,77,35
1815,80,65
1816,0,79
1817,89,23
1818,86,2
1819,68,90
1820,62,42
1821,93,13
1822,93,51
1823,22,48
1824,77,24
1825,55,93
1826,28,58
1827,4,66
1828,53,42
1829,68,88
1830,60,44
1831,5,99
1832,52,88
1833,65,67
1834,8,40
1835,78,31
1836,14,22
1837,70,87
1838,28,67
1839,16,11
1840,24,4
1841,75,74
1842,15,65
1843,64,93
1844,97,43
1845,26,53
1846,15,54
1847,22,54
1848,0,22
1849,83,56
1850,44,25
1851,59,21
1852,1,10
1853,30,13
1854,8,73
1855,67,31
1856,44,7
1857,73,21
1858,1,23
1859,67,33
1860,89,45
1861,55,16
1862,53,1
1863,92,16
1864,82,67
1865,94,14
1866,58,58
1867,46,34
1868,24,79
1869,90,61
1870,0,16
1871,82,50
1872,21,88
1873,44,8
1874,21,96
1875,53,36
1876,91,15
1877,64,87
1878,72,54
1879,10,30
1880,28,23
1881,43,68
1882,58,30
1883,88,96
1884,73,20
1885,85,40
1886,24,12
1887,49,9
1888,40,20
1889,80,80
1890,28,9
1891,73,4
1892,97,29
1893,88,37
1894,79,40
1895,85,24
1896,72,28
1897,97,16
1898,72,98
1899,68,20
1900,45,98
1901,44,58
1902,48,2
1903,62,28
1904,43,49
1905,26,21
1906,88,13
1907,16,94
1908,34,8
1909,80,45
1910,34,11
1911,61,45
1912,9,72
1913,81,56
1914,8,45
1915,83,38
1916,64,56
1917,51,62
1918,88,20
1919,83,14
1920,47,2
1921,22,14
1922,50,89
1923,13,81
1924,61,19
1925,23,60
1926,45,87
1927,57,31
1928,35,86
1929,78,93
1930,90,47
1931,33,69
1932,91,50
1933,17,2
1934,76,1
1935,88,96
1936,97,16
1937,91,49
1938,14,79
1939,69,95
1940,36,6
1941,54,66
1942,0,13
1943,1,68
1944,14,47
1945,61,67
1946,59,12
1947,57,55
1948,80,80
1949,7,32
1950,28,34
1951,58,59
1952,71,73
1953,22,16
1954,29,21
1955,27,18
1956,82,25
1957,68,18
1958,7,60
1959,63,65
1960,38,10
1961,26,85
1962,69,41
1963,7,18
1964,56,91
1965,44,73
1966,72,73
1967,48,65
1968,78,0
1969,54,8
1970,21,47
1971,76,52
1972,55,45
1973,18,74
1974,87,65
1975,48,14
1976,35,39
1977,28,61
1978,26,29
1979,5,71
1980,76,42
1981,45,85
1982,56,1
1983,19,38
1984,31,37
1985,56,57
1986,72,47
1987,7,51
1988,43,77
1989,48,60
1990,42,54
1991,75,67
1992,29,14
1993,12,77
1994,80,0
1995,80,78
1996,59,97
1997,45,64
1998,40,62
1999,75,20
2000,1,1
2001,84,30
2002,76,79
2003,21,23
2004,35,46
2005,21,73
2006,93,89
2007,98,19
2008,44,24
2009,13,18
2010,37,7
2011,39,59
2012,56,5
2013,9,73
2014,69,93
2015,91,70
2016,95,51
2017,17,65
2018,75,59
2019,94,98
2020,81,18
2021,66,49
2022,40,86
2023,81,96
2024,72,36
2025,24,8
2026,79,97
2027,56,18
2028,57,56
2029,88,50
2030,1,61
2031,20,35
2032,55,95
2033,28,0
2034,64,29
2035,5,22
2036,34,44
2037,94,56
2038,36,60
2039,29,68
2040,33,95
2041,60,3
2042,76,42
2043,51,78
2044,77,21
2045,27,65
2046,78,26
2047,17,48
2048,84,17
2049,12,80
2050,14,95
2051,11,65
2052,10,77
2053,46,34
2054,11,51
2055,54,96
2056,84,23
2057,98,30
2058,7,14
2059,85,84
2060,0,77
2061,26,27
2062,90,13
2063,51,29
2064,54,14
2065,21,17
2066,19,92
2067,7,45
2068,94,23
2069,17,26
2070,15,63
2071,75,60
2072,75,59
2073,34,90
2074,72,46
2075,89,32
2076,41,18
2077,44,80
2078,11,37
2079,58,85
2080,1,25
2081,33,27
2082,50,49
2083,66,3
2084,0,29
2085,28,45
2086,11,28
2087,17,91
2088,95,12
2089,91,83
2090,51,94
2091,73,42
2092,50,47
2093,62,71
2094,95,78
2095,53,42
2096,93,3
2097,14,97
2098,95,21
2099,95,66
2100,42,87
2101,23,7
2102,46,39
2103,79,79
2104,61,8
2105,46,13
2106,40,80
2107,14,49
2108,38,13
2109,19,86
2110,48,9
2111,56,46
2112,30,79
2113,88,49
2114,26,60
2115,15,16
2116,66,70
2117,69,64
2118,14,52
2119,6,94
2120,24,50
2121,38,20
2122,19,86
2123,70,43
2124,54,43
2125,80,43
2126,89,33
2127,60,30
2128,48,93
2129,72,41
2130,27,47
2131,18,83
2132,86,57
2133,26,71
2134,62,45
2135,9,61
2136,31,18
2137,92,16
2138,12,23
2139,37,66
2140,8,5
2141,97,35
